goods_code_6,Description_6,indent,CODE_2,CODE_4,CODE_6,CODE_8,CODE_10,CODE_14
0207440000 80,"Other, fresh or chilled","- - ",02,07,44,00,00,80
0207450000 80,"Other, frozen","- - ",02,07,45,00,00,80
0207510000 10,Of geese,"- ",02,07,51,00,00,10
0207510000 80,"Not cut in pieces, fresh or chilled","- - ",02,07,51,00,00,80
0207520000 80,"Not cut in pieces, frozen","- - ",02,07,52,00,00,80
0207530000 80,"Fatty livers, fresh or chilled","- - ",02,07,53,00,00,80
0207540000 80,"Other, fresh or chilled","- - ",02,07,54,00,00,80
0207550000 80,"Other, frozen","- - ",02,07,55,00,00,80
0207600000 80,Of guinea fowls,"- ",02,07,60,00,00,80
0208100000 80,Of rabbits or hares,"- ",02,08,10,00,00,80
0208300000 80,Of primates,"- ",02,08,30,00,00,80
0208400000 80,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","- ",02,08,40,00,00,80
0208500000 80,Of reptiles (including snakes and turtles),"- ",02,08,50,00,00,80
0208600000 80,Of camels and other camelids (Camelidae),"- ",02,08,60,00,00,80
0208900000 80,Other,"- ",02,08,90,00,00,80
0209100000 80,Of pigs,"- ",02,09,10,00,00,80
0209900000 80,Other,"- ",02,09,90,00,00,80
0210110000 10,Meat of swine,"- ",02,10,11,00,00,10
0210110000 80,"Hams, shoulders and cuts thereof, with bone in","- - ",02,10,11,00,00,80
0210120000 80,Bellies (streaky) and cuts thereof,"- - ",02,10,12,00,00,80
0210190000 80,Other,"- - ",02,10,19,00,00,80
0210200000 80,Meat of bovine animals,"- ",02,10,20,00,00,80
0210910000 10,"Other, including edible flours and meals of meat or meat offal","- ",02,10,91,00,00,10
0210910000 80,Of primates,"- - ",02,10,91,00,00,80
0210920000 80,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","- - ",02,10,92,00,00,80
0210930000 80,Of reptiles (including snakes and turtles),"- - ",02,10,93,00,00,80
0210990000 80,Other,"- - ",02,10,99,00,00,80
0301110000 10,Ornamental fish,"- ",03,01,11,00,00,10
0301110000 80,Freshwater fish,"- - ",03,01,11,00,00,80
0301190000 80,Other,"- - ",03,01,19,00,00,80
0301910000 10,Other live fish,"- ",03,01,91,00,00,10
0301910000 80,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","- - ",03,01,91,00,00,80
0301920000 80,Eels (Anguilla spp.),"- - ",03,01,92,00,00,80
0301930000 80,"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","- - ",03,01,93,00,00,80
0301940000 80,"Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","- - ",03,01,94,00,00,80
0301950000 80,Southern bluefin tuna (Thunnus maccoyii),"- - ",03,01,95,00,00,80
0301990000 80,Other,"- - ",03,01,99,00,00,80
0302110000 10,"Salmonidae, excluding edible fish offal of subheadings 0302|91|to 0302|99","- ",03,02,11,00,00,10
0302110000 80,"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","- - ",03,02,11,00,00,80
0302130000 80,"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)","- - ",03,02,13,00,00,80
0302140000 80,Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho),"- - ",03,02,14,00,00,80
0302190000 80,Other,"- - ",03,02,19,00,00,80
0302210000 10,"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 0302|91|to 0302|99","- ",03,02,21,00,00,10
0302210000 80,"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","- - ",03,02,21,00,00,80
0302220000 80,Plaice (Pleuronectes platessa),"- - ",03,02,22,00,00,80
0302230000 80,Sole (Solea spp.),"- - ",03,02,23,00,00,80
